___ ist eine Tugend, die man früh lernen sollte. (cleanliness)	Reinlichkeit	german noun b1 feminine
Er betont ___ bei der Arbeit immer wieder. (cleanliness)	die Reinlichkeit	german noun b1 feminine
Wegen ihrer ___ bekommt sie immer gute Bewertungen von den Gästen. (cleanliness)	Reinlichkeit	german noun b1 feminineDer Lehrer ___ immer die wichtigsten Punkte ___. (to highlight)	hebt hervor	german verb b1 separable trennbar
Du solltest deine Stärken in der Bewerbung ___. (to highlight)	hervorheben	german verb b1 separable trennbar
Sie hat in ihrer Präsentation mehrere Fehler ___. (highlighted — past participle)	hervorgehoben	german verb b1 separable trennbarDie Lehrerin hat ihr eine ___ Rückmeldung gegeben. (praising)	lobende	german adjective b1
Der Chef hat einen ___ Kommentar in den Bericht geschrieben. (commendatory)	lobenden	german adjective b1
Die Jury hat sich ___ über seine Arbeit geäußert. (approvingly)	lobend	german adjective b1Ich ___, dass er die Wahrheit nicht sagt. (to suspect)	vermute	german verb b1
Was ___ du, warum sie so spät kommt? (to suppose)	vermutest	german verb b1
Die Polizei hat einen technischen Fehler ___. (suspected — past participle)	vermutet	german verb b1Er hat sich ___ über seinen Kollegen geäußert. (disparagingly)	abfällig	german adjective b1
Sie machte eine ___ Bemerkung über das Essen. (disparaging)	abfällige	german adjective b1
Ich fand seinen ___ Kommentar sehr unhöflich. (disparaging)	abfälligen	german adjective b1
